000	3891	-52	2716	None	3891	-52	2716	3908	-22	2756
001	3877	-51	2716	None	3877	-51	2716	3890	-28	2756
002	3891	-51	2757	None	3891	-51	2757	3908	-28	2770
003	3891	-51	2702	None	3891	-51	2702	3908	-28	2715
004	3909	-51	2716	None	3909	-51	2716	3922	-28	2756
005	3847	-51	2717	None	3847	-51	2717	3876	-37	2755
006	3877	-51	2702	None	3877	-51	2702	3890	-28	2715
007	3877	-51	2757	None	3877	-51	2757	3890	-28	2770
008	3909	-51	2771	Clockwise90	3889	-51	2771	3909	-37	2788
009	3910	-51	2684	Clockwise90	3890	-51	2684	3910	-37	2701
010	3909	-51	2757	None	3909	-51	2757	3922	-28	2770
011	3940	-51	2745	Rotate180	3923	-51	2725	3940	-37	2745
012	3909	-51	2702	None	3909	-51	2702	3922	-28	2715
013	3812	-51	2717	None	3812	-51	2717	3846	-37	2755
014	3876	-51	2756	Clockwise90	3856	-51	2756	3876	-37	2773
015	3876	-51	2696	Clockwise90	3856	-51	2696	3876	-37	2716
016	3915	-51	2782	Rotate180	3910	-51	2777	3915	-37	2782
017	3889	-51	2806	CounterClockwise90	3889	-51	2789	3909	-37	2806
018	3888	-51	2783	Rotate180	3882	-51	2776	3888	-47	2783
019	3929	-51	2700	Rotate180	3911	-51	2686	3929	-42	2700
020	3910	-51	2666	Clockwise90	3890	-51	2666	3910	-37	2683
021	3934	-51	2718	Clockwise90	3927	-51	2718	3934	-41	2724
022	3958	-51	2745	Rotate180	3941	-51	2725	3958	-37	2745
023	3816	-51	2716	CounterClockwise90	3816	-51	2699	3836	-37	2716
024	3816	-51	2773	CounterClockwise90	3816	-51	2756	3836	-37	2773
025	3856	-51	2791	CounterClockwise90	3856	-51	2774	3876	-37	2791
026	3876	-51	2678	Clockwise90	3856	-51	2678	3876	-37	2695
027	3838	-51	2696	None	3838	-51	2696	3855	-37	2716
028	3910	-51	2795	None	3910	-51	2795	3917	-47	2798
029	3879	-51	2792	None	3879	-51	2792	3888	-46	2802
030	3889	-51	2824	CounterClockwise90	3889	-51	2807	3909	-37	2824
031	3917	-50	2694	Clockwise90	3917	-50	2694	3917	-50	2694
032	3911	-51	2667	None	3911	-51	2667	3931	-40	2683
033	3884	-51	2673	None	3884	-51	2673	3889	-37	2678
034	3890	-51	2665	CounterClockwise90	3890	-51	2648	3910	-37	2665
035	3958	-51	2713	Clockwise90	3948	-51	2713	3958	-46	2724
036	3943	-51	2757	CounterClockwise90	3943	-51	2746	3953	-46	2757
037	3976	-51	2745	Rotate180	3959	-51	2725	3976	-37	2745
038	3836	-51	2681	Clockwise90	3816	-51	2681	3836	-37	2698
039	3815	-51	2710	Rotate180	3806	-51	2703	3815	-44	2710
040	3855	-51	2771	Rotate180	3837	-51	2757	3855	-42	2771
041	3836	-51	2774	Clockwise90	3816	-51	2774	3836	-37	2791
042	3856	-51	2809	CounterClockwise90	3856	-51	2792	3876	-37	2809
043	3837	-51	2775	None	3837	-51	2775	3855	-42	2789
044	3856	-51	2677	CounterClockwise90	3856	-51	2660	3876	-37	2677
045	3837	-51	2679	None	3837	-51	2679	3855	-42	2693
046	3883	-50	2799	CounterClockwise90	3883	-50	2799	3883	-50	2799
047	3909	-51	2825	Clockwise90	3889	-51	2825	3909	-37	2842
048	3877	-51	2809	None	3877	-51	2809	3888	-46	2819
049	3921	-47	2677	CounterClockwise90	3921	-47	2677	3921	-47	2677
050	3922	-47	2669	Rotate180	3922	-47	2669	3922	-47	2669
051	3922	-51	2662	Rotate180	3911	-51	2652	3922	-46	2662
052	3890	-51	2627	None	3890	-51	2627	3910	-37	2647
053	3889	-51	2659	Rotate180	3880	-51	2652	3889	-44	2659
054	3948	-49	2749	CounterClockwise90	3948	-49	2749	3948	-49	2749
055	3974	-51	2706	Clockwise90	3960	-51	2706	3974	-42	2724
056	3975	-51	2762	Rotate180	3959	-51	2746	3975	-29	2762
057	3977	-51	2725	None	3977	-51	2725	3994	-37	2745
058	3815	-51	2681	Clockwise90	3799	-51	2681	3815	-29	2697
059	3816	-51	2680	CounterClockwise90	3816	-51	2660	3836	-37	2680
060	3850	-47	2770	Clockwise90	3850	-47	2770	3850	-47	2770
061	3843	-50	2765	Rotate180	3843	-50	2765	3843	-50	2765
062	3816	-51	2809	CounterClockwise90	3816	-51	2792	3836	-37	2809
063	3876	-51	2810	Clockwise90	3856	-51	2810	3876	-37	2827
064	3855	-51	2807	Rotate180	3839	-51	2791	3855	-47	2807
065	3842	-47	2776	Rotate180	3842	-47	2776	3842	-47	2776
066	3856	-51	2659	CounterClockwise90	3856	-51	2642	3876	-37	2659
067	3837	-51	2661	None	3837	-51	2661	3855	-42	2675
068	3877	-51	2665	None	3877	-51	2665	3883	-47	2672
069	3849	-50	2685	Rotate180	3849	-50	2685	3849	-50	2685
070	3888	-51	2839	Rotate180	3879	-51	2832	3888	-44	2839
071	3885	-49	2814	Clockwise90	3885	-49	2814	3885	-49	2814
072	3914	-49	2657	CounterClockwise90	3914	-49	2657	3914	-49	2657
073	3928	-51	2647	Rotate180	3911	-51	2627	3928	-37	2647
074	3973	-47	2711	Rotate180	3973	-47	2711	3973	-47	2711
075	3968	-50	2718	CounterClockwise90	3968	-50	2718	3968	-50	2718
076	3991	-51	2746	Clockwise90	3979	-51	2746	3991	-47	2753
077	3995	-51	2725	None	3995	-51	2725	4012	-37	2745
078	3816	-51	2659	CounterClockwise90	3816	-51	2642	3836	-37	2659
079	3816	-51	2827	CounterClockwise90	3816	-51	2810	3836	-37	2827
080	3815	-51	2791	Clockwise90	3799	-51	2791	3815	-29	2807
081	3876	-51	2828	Clockwise90	3856	-51	2828	3876	-37	2845
082	3839	-51	2827	CounterClockwise90	3839	-51	2811	3855	-29	2827
083	3856	-51	2621	None	3856	-51	2621	3876	-37	2641
084	3855	-51	2657	Rotate180	3839	-51	2641	3855	-47	2657
085	3842	-47	2662	Rotate180	3842	-47	2662	3842	-47	2662
086	3849	-50	2667	CounterClockwise90	3849	-50	2667	3849	-50	2667
087	3929	-51	2627	None	3929	-51	2627	3946	-37	2647
088	4009	-51	2746	Clockwise90	3999	-51	2746	4009	-47	2761
089	3997	-51	2724	CounterClockwise90	3997	-51	2708	4013	-47	2724
